,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
0,Xiaomi Pad 7 (12GB RAM + 256GB),"₹23,248",75,No Sim Supported,"Wi-Fi, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","12 GB RAM, 256 GB inbuilt",8850 mAh Battery with 45W Fast Charging,"11.2 inches, 2136 x 3200 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
1,Samsung Galaxy Tab A9 Plus Tablet (5G+ 8GB RAM + 128GB),"₹17,600",76,"3G, 4G, 5G, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
2,Xiaomi Redmi Pad Pro 5G,"₹23,599",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1.5 TB"
3,Xiaomi Pad 8,"₹29,999",64,No Sim Supported,"Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",9950 mAh Battery with 67W Fast Charging,"12.1 inches, 2136 x 3200 px, 144 Hz Display",50 MP Rear & 12 MP Front Camera,Android v16
4,OnePlus Pad Go Tablet,"₹16,498",79,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 33W Fast Charging,"11.35 inches, 1720 x 2408 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
5,Xiaomi Redmi Pad 2 (LTE+ 8GB RAM + 256GB),"₹17,999",,Dual Sim,"3G, 4G, Wi-Fi","Helio G100 Ultra, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",9000 mAh Battery with 18W Fast Charging,"11 inches, 1600 x 2560 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 2 TB"
6,Lenovo Idea Tab,"₹20,999",,"3G, 4G, 5G, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",7040 mAh Battery with 20W Fast Charging,"11 inches, 2560 x 1600 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v15
7,Samsung Galaxy Tab S9 FE Plus 2023 (Wi-Fi Only+8GB RAM + 128GB),"₹30,055",78,Wi-Fi,"Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",8 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
8,Xiaomi Redmi Pad Pro 5G (8GB RAM + 256GB),"₹25,299",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1.5 TB"
9,Lenovo Xiaoxin Pad Pro 12.7,"₹18,499",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 20W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",8 MP Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB"
10,Xiaomi Pad 7,"₹26,999",74,No Sim Supported,"Wi-Fi, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",8850 mAh Battery with 45W Fast Charging,"11.2 inches, 2136 x 3200 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
11,Samsung Galaxy Tab S9 FE Plus,"₹44,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",8 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
12,Lenovo Idea Tab Pro,"₹27,999",77,No Sim Supported,Wi-Fi,"Dimensity 8300, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
13,Xiaomi Pad 7 Ultra,"₹68,990",,No Sim Supported,"Wi-Fi, NFC, IR Blaster","Xring O1, Deca Core, 3.7 GHz Processor","12 GB RAM, 256 GB inbuilt",12000 mAh Battery with 120W Fast Charging,"14 inches, 2136 x 3200 px, 120 Hz Display",50 MP Rear & 32 MP Front Camera,Android v15
14,Oneplus Pad 3,"₹45,990",79,No Sim Supported,Wi-Fi,"Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",12140 mAh Battery with 80W Fast Charging,"13.2 inches, 2400 x 3392 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
15,Motorola Moto Pad 60 Pro,"₹26,999",75,No Sim Supported,Wi-Fi,"Dimensity 8300, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
16,Samsung Galaxy Tab S10 Ultra Tablet 5G (12GB+512GB),"₹1,14,999",,Single Sim,"3G, 4G, 5G, Wi-Fi","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,Memory Card Supported
17,Lenovo Idea Tab (Wi-Fi Only),"₹17,999",74,No Sim Supported,Wi-Fi,"Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",7040 mAh Battery with 20W Fast Charging,"11 inches, 2560 x 1600 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
18,Poco Pad 5G Tablet,"₹23,999",,Single Sim,"3G, 4G, 5G, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1.5 TB"
19,OnePlus Pad 2 Tablet,"₹36,999",79,No Sim Supported,"Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 128 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"12.1 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
20,OnePlus Pad Go Tablet (LTE+8GB+256GB),"₹21,999",,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 33W Fast Charging,"11.35 inches, 1720 x 2408 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
21,Lenovo Yoga Tab Plus,"₹52,999",,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 512 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px Display",13 MP + 2 MP Dual Rear & 13 MP Front Camera,Android v14
22,Xiaomi Pad 7 Nano Texture Display Edition,"₹31,999",75,No Sim Supported,"Wi-Fi, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","12 GB RAM, 256 GB inbuilt",8850 mAh Battery with 45W Fast Charging,"11.2 inches, 2136 x 3200 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
23,Poco Pad 5G Tablet (8GB RAM +256GB),"₹25,999",,Single Sim,"3G, 4G, 5G, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1.5 TB"
24,Xiaomi Pad 7 Pro,"₹28,990",76,No Sim Supported,"Wi-Fi, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",8850 mAh Battery with 67W Fast Charging,"11.2 inches, 2136 x 3200 px, 144 Hz Display",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15
25,OnePlus Pad Go Tablet (Wi-FI Only),"₹17,999",74,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 33W Fast Charging,"11.35 inches, 1720 x 2408 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
26,Lenovo Xiaoxin Pad Pro 12.7 (8GB RAM + 256GB),"₹20,499",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10200 mAh Battery with 20W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",8 MP Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB"
27,Xiaomi Pad 6 Tablet (8GB RAM + 256GB),"₹24,999",73,No Sim Supported,Wi-Fi,"Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8840 mAh Battery with 33W Fast Charging,"11 inches, 1800 x 2880 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13
28,Motorola Moto Pad 60 Pro (12GB RAM + 256GB),"₹35,990",76,No Sim Supported,Wi-Fi,"Dimensity 8300, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
29,Lenovo Idea Tab Pro (12GB RAM + 256GB),"₹30,999",79,No Sim Supported,Wi-Fi,"Dimensity 8300, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
30,Apple iPad Air 11 2025 (128GB+Wi-Fi),"₹58,097",66,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
31,Samsung Galaxy Tab S11 Ultra,"₹1,29,990",,Single Sim,"3G, 4G, 5G, Wi-Fi","Dimensity 9400, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",11600 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP Rear & 12 MP Front Camera,Memory Card Supported
32,Samsung Galaxy Tab S10 FE 5G,"₹50,999",,Dual Sim,"3G, 4G, 5G, Wi-Fi","Exynos 1580, Octa Core, 2.9 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
33,OnePlus Pad 2 Tablet (12GB RAM + 256GB),"₹39,999",,No Sim Supported,"Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"12.1 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
34,Samsung Galaxy Tab A9 Plus Tablet (Wi-Fi+8GB RAM+128GB),"₹17,299",70,Wi-Fi,"Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
35,Lenovo Tab M11,"₹14,490",70,No Sim Supported,Wi-Fi,"Helio G88, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
36,Nubia Red Magic Gaming Tablet 3 Pro,"₹46,990",79,"Wi-Fi, NFC","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",8240 mAh Battery with 80W Fast Charging,"9.06 inches, 1504 x 2400 px, 165 Hz Display",50 MP Rear & 20 MP Front Camera,Memory Card Not Supported,Android v15
37,OnePlus Pad 3 Pro,"₹44,990",78,No Sim Supported,Wi-Fi,"Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","8 GB RAM, 256 GB inbuilt",12140 mAh Battery with 80W Fast Charging,"13.2 inches, 2400 x 3392 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
38,Samsung Galaxy Tab S10 FE Plus (12GB RAM + 256GB + 5G),"₹73,999",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1580, Octa Core, 2.9 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"13.1 inches, 1800 x 2880 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
39,Vivo Pad SE,"₹11,990",69,"Wi-Fi, NFC",No 3G,"Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8500 mAh Battery with 15W Fast Charging,"12.3 inches, 1600 x 2464 px, 120 Hz Display",5 MP Rear & 5 MP Front Camera,Android v15
40,Infinix XPAD (8GB RAM + 256GB),"₹14,999",74,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 18W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,Memory Card Supported
41,Lenovo Tab Plus 2024,"₹20,999",71,No Sim Supported,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8600 mAh Battery with 45W Fast Charging,"11.5 inches, 1200 x 2000 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
42,Samsung Galaxy Tab S9 FE (5G + 8GB RAM + 256GB),"₹45,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",8 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
43,Samsung Galaxy Tab S9 FE Plus (12GB RAM + 256GB),"₹58,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",8 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
44,Samsung Galaxy Tab S9 FE Plus (Wi-Fi Only+12GB RAM + 256GB),"₹44,999",,Wi-Fi,"Exynos 1380, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",8 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
45,Samsung Galaxy Tab S9 Tablet (Wi-Fi+8GB+128GB),"₹59,999",,Wi-Fi,"Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8400 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
46,OnePlus Pad Tablet (12 GB RAM + 256 GB),"₹24,999",77,Wi-Fi,No 3G,"Dimensity 9000, Octa Core, 3.05 GHz Processor","12 GB RAM, 256 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"11.61 inches, 2000 x 2800 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13.1
47,OnePlus Pad Tablet,"₹22,999",75,No Sim Supported,Wi-Fi,"Dimensity 9000, Octa Core, 3.05 GHz Processor","8 GB RAM, 128 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"11.61 inches, 2000 x 2800 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13.1
48,Lenovo Yoga Tab Plus (256GB),"₹49,999",,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px Display",13 MP + 2 MP Dual Rear & 13 MP Front Camera,Android v14
49,Honor MagicPad 3 Tablet,"₹64,990",78,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 TB inbuilt",12450 mAh Battery with 66W Fast Charging,"13.3 inches, 165 Hz Display",20 MP Rear & 12 MP Front Camera,Memory Card Not Supported
50,Lenovo Idea Tab Pro (8GB RAM + 256GB),"₹30,499",78,No Sim Supported,Wi-Fi,"Dimensity 8300, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
51,Oppo Pad 4 Pro,"₹46,990",78,No Sim Supported,Wi-Fi,"Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","8 GB RAM, 256 GB inbuilt",12140 mAh Battery with 80W Fast Charging,"13.2 inches, 2400 x 3392 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
52,Poco Pad 2 Tablet,"₹27,990",71,Single Sim,"3G, 4G, 5G, Wi-Fi","Snapdragon 7s Gen3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",10500 mAh Battery with 33W Fast Charging,"12.1 inches, 1800 x 2700 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1.5 TB"
53,Lenovo Xiaoxin Pad Pro 12.7 (2025),"₹26,990",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 8300, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 20W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",8 MP Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB"
54,Lenovo Tab Plus 2024 (8GB RAM + 128GB),"₹18,998",70,No Sim Supported,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8600 mAh Battery with 45W Fast Charging,"11.5 inches, 1200 x 2000 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
55,Apple iPad Pro 13 2024 Tablet 5G (2TB + Nano Texture Glass),"₹2,52,078",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
56,Apple iPad Pro 11 inch Tablet (Wi-Fi +256GB),"₹94,990",70,No Sim Supported,Wi-Fi,"Apple M4, Nine Core Processor","8 GB RAM, 256 GB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
57,Vivo Pad Air Tablet,"₹20,499",71,Wi-Fi,"Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8500 mAh Battery with 44W Fast Charging,"11.5 inches, 1840 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v13,No FM Radio
58,Nubia Red Magic Nova Gaming Tablet,"₹45,999",,"Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",10100 mAh Battery with 120W Fast Charging,"10.9 inches, 1800 x 2880 px, 144 Hz Display",50 MP Rear & 20 MP Front Camera,Memory Card Not Supported,Android v14
59,Samsung Galaxy Tab S8 Ultra 5G Tablet,"₹84,499",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
60,Honor Pad GT2 Pro,"₹28,999",73,Wi-Fi,No 3G,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 128 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"12.3 inches, 3000 x 1920 px, 165 Hz Display",13 MP Rear & 8 MP Front Camera,Memory Card Not Supported
61,OPPO Pad SE (8GB + 128GB + LTE),"₹16,999",71,"3G, 4G, Wi-Fi","Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",9340 mAh Battery with 33W Fast Charging,"10.95 inches, 1200 x 1920 px, 90 Hz Display",5 MP Rear & 5 MP Front Camera,Android v15,No FM Radio
62,Honor Pad 10,"₹27,990",72,No Sim Supported,Wi-Fi,"Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",9000 mAh Battery with Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
63,Samsung Galaxy Tab S10 FE (WI-FI+ 8GB RAM + 128GB),"₹40,800",78,No Sim Supported,Wi-Fi,"Exynos 1580, Octa Core, 2.9 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
