,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
64,Samsung Galaxy Tab S10 FE Plus (WI-FI+ 8GB RAM + 128GB),"₹55,999",,No Sim Supported,Wi-Fi,"Exynos 1580, Octa Core, 2.9 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"13.1 inches, 1800 x 2880 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
65,Vivo Pad 5 Pro,"₹35,999",74,No Sim Supported,Wi-Fi,"Dimensity 9400, Octa Core, 3.63 GHz Processor","8 GB RAM, 128 GB inbuilt",12050 mAh Battery with 66W Fast Charging,"13 inches, 2064 x 3096 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
66,Apple iPad Air 13 2025 (Wi-Fi + 256GB),"₹86,990",68,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 256 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
67,Apple iPad Air 13 2025 (Wi-Fi + 128GB),"₹77,490",67,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
68,Xiaomi Pad 7S Pro,"₹39,990",78,No Sim Supported,"Wi-Fi, IR Blaster","Xring O1, Octa Core, 3.4 GHz Processor","8 GB RAM, 256 GB inbuilt",10610 mAh Battery with 120W Fast Charging,"12.5 inches, 2136 x 3200 px, 144 Hz Display",50 MP Rear & 32 MP Front Camera,Android v15
69,Samsung Galaxy Tab S10 FE Plus 5G,"₹63,999",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1580, Octa Core, 2.9 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"13.1 inches, 1800 x 2880 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
70,Samsung Galaxy Tab S10 Ultra Tablet (Wi-Fi+12GB+256GB),"₹1,08,999",,No Sim Supported,Wi-Fi,"Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,Memory Card Supported
71,Samsung Galaxy Tab S10 Ultra Tablet (12GB+512GB+Wi-Fi),"₹1,19,999",,No Sim Supported,Wi-Fi,"Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,Memory Card Supported
72,Realme Pad 2 Lite (8GB RAM + 128GB),"₹15,890",74,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8300 mAh Battery with 15W Fast Charging,"10.95 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
73,Huawei MatePad Pro 12.2,"₹49,990",68,No Sim Supported,Wi-Fi,"​Kirin 9010W, Octa Core Processor","12 GB RAM, 256 GB inbuilt",10100 mAh Battery with 100W Fast Charging,"12.2 inches, 2800 x 1840 px, 144 Hz Display",50 MP Rear & 8 MP Front Camera,HarmonyOS v4.2
74,Honor MagicPad 2 Tablet,"₹56,990",76,No Sim Supported,Wi-Fi,"Snapdragon 8S Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 256 GB inbuilt",10050 mAh Battery with 66W Fast Charging,"12.3 inches, 1920 x 3000 px, 144 Hz Display",13 MP Rear & 9 MP Front Camera,Memory Card Not Supported
75,Samsung Galaxy Tab S10 Ultra Tablet 5G,"₹1,22,999",,Single Sim,"3G, 4G, 5G, Wi-Fi","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,Memory Card Supported
76,Xiaomi Redmi Pad SE Tablet (8GB RAM + 128GB),"₹13,999",69,No Sim Supported,Wi-Fi,"Snapdragon 680, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 10W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
77,Lenovo Tab M11 (LTE),"₹15,599",76,Single Sim,"3G, 4G, Wi-Fi","Helio G88, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
78,Samsung Galaxy Tab S10 Plus,"₹1,04,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1.5 TB"
79,Lenovo Legion Tab 2024,"₹39,999",77,Wi-Fi,"Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 45W Fast Charging,"8.8 inches, 1600 x 2560 px, 144 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
80,Honor Pad 9,"₹18,749",72,No Sim Supported,Wi-Fi,"Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8300 mAh Battery with 35W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13
81,Samsung Galaxy Tab S9 Tablet (5G+12GB+256GB),"₹83,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",8400 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
82,Samsung Galaxy Tab S9 Plus Tablet (Wi-Fi+12GB+256GB),"₹90,999",,Wi-Fi,"Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
83,Lenovo Tab P12,"₹24,990",75,Wi-Fi,"Dimensity 7050, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",10200 mAh Battery with 30W Fast Charging,"12.7 inches, 2944 x 1840 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
84,Realme Pad 2 Tablet (8GB RAM + 256GB),"₹18,999",77,Single Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8360 mAh Battery with 33W Fast Charging,"11.5 inches, 1200 x 2000 px, 120 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
85,Lenovo Tab Extreme,"₹96,990",,Wi-Fi,No 3G,"Dimensity 9000, Octa Core, 3.05 GHz Processor","12 GB RAM, 256 GB inbuilt",12300 mAh Battery with 68W Fast Charging,"14.5 inches, 1876 x 3000 px, 120 Hz Display",13 MP Rear & 13 MP Front Camera,Memory Card Supported
86,Samsung Galaxy Tab S8 Ultra Tablet (Wi-Fi Only),"₹85,999",,Wi-Fi,No 3G,"Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
87,Lenovo Legion Pad Gaming Tablet,"₹24,999",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7100 mAh Battery with 30W Fast Charging,"7 inches, 1080 x 2400 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
88,Vivo Pad Tablet,"₹28,990",76,"Wi-Fi, NFC",No 3G,"Snapdragon 870 , Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8040 mAh Battery with 44W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 8 MP Front Camera,Android v12
89,Samsung Galaxy Tab S11,"₹59,999",,Dual Sim,"3G, 4G, 5G, Wi-Fi","Dimensity 9400, Octa Core, 3.63 GHz Processor","12 GB RAM, 128 GB inbuilt",8400 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px Display",13 MP + 8 MP Dual Rear & 12 MP Front Camera,Memory Card Supported
90,Xiaomi Pad Mini,"₹32,990",70,No Sim Supported,"Wi-Fi, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","8 GB RAM, 256 GB inbuilt",7500 mAh Battery with 67W Fast Charging,"8.8 inches, 1880 x 3008 px, 165 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
91,DOMO Slate SLP16 Tablet,"₹11,990",74,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T610, Octa Core, 1.8 GHz Processor","8 GB RAM, 128 GB inbuilt",5020 mAh Battery,"10.5 inches, 2000 x 1200 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
92,Acer Iconia Tab iM11-12M Tablet (8GB+256GB),"₹29,999",78,Dual Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",7400 mAh Battery with 18W Fast Charging,"11.45 inches, 2200 x 1440 px Display",16 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
93,Vivo Pad 5,"₹26,999",74,No Sim Supported,"Wi-Fi, NFC","Dimensity 9300 Plus, Octa Core, 3.63 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.1 inches, 1968 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v15
94,Huawei MatePad Pro 12.2 (2025),"₹81,990",,No Sim Supported,Wi-Fi,"Kirin 9000S, Octa Core, 2.62 GHz Processor","12 GB RAM, 256 GB inbuilt",10100 mAh Battery with 100W Fast Charging,"12.2 inches, 2800 x 1840 px Display",50 MP + 8 MP Dual Rear & 8 MP Front Camera,HarmonyOS v4.3
95,iQOO Pad 5 Pro,"₹37,990",77,No Sim Supported,Wi-Fi,"Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","8 GB RAM, 256 GB inbuilt",12050 mAh Battery with 66W Fast Charging,"13 inches, 2064 x 3096 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
96,Nubia Tablet Pro,"₹32,999",75,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 256 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"10.9 inches, 1800 x 2880 px Display",13 MP Rear & 20 MP Front Camera,Android v15
97,Honor Tablet GT,"₹19,999",72,No Sim Supported,Wi-Fi,"Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"11.5 inches, 2800 x 1840 px Display",13 MP Rear & 8 MP Front Camera,Android v15
98,Samsung Galaxy Tab S10 FE (5G+ 12GB RAM + 256GB),"₹61,999",,Dual Sim,"3G, 4G, 5G, Wi-Fi","Exynos 1580, Octa Core, 2.9 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
99,Samsung Galaxy Tab S10 FE (WI-FI+ 12GB RAM + 256GB),"₹53,999",,No Sim Supported,Wi-Fi,"Exynos 1580, Octa Core, 2.9 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
100,Samsung Galaxy Tab S10 FE Plus (WI-FI+ 12GB RAM + 256GB),"₹65,999",,No Sim Supported,Wi-Fi,"Exynos 1580, Octa Core, 2.9 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"13.1 inches, 1800 x 2880 px, 90 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 2 TB"
101,Teclast T70 Tablet,"₹14,990",77,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with Fast Charging,"14 inches, 1920 x 1200 px Display",13 MP + 0.08 MP Dual Rear & 8 MP Front Camera,Android v14
102,Infinix XPAD GT,"₹33,990",74,No Sim Supported,Wi-Fi,"Snapdragon 888, Octa Core, 2.84 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"13 inches, 2880 x 1840 px, 120 Hz Display",13 MP Rear & 9 MP Front Camera,Memory Card Supported
103,Apple iPad Air 11 2025 (1TB+Wi-Fi),"₹1,06,592",69,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 1 TB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
104,Apple iPad Air 11 2025 (512GB+Wi-Fi),"₹87,194",68,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
105,Apple iPad Air 13 2025 Tablet (5G + 1TB),"₹1,40,539",76,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 1 TB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
106,Apple iPad Air 13 2025 (Wi-Fi + 1TB),"₹1,29,900",69,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 1 TB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
107,Apple iPad Air 11 2025 Tablet (1TB + 5G),"₹1,21,141",76,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 1 TB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
108,Apple iPad Air 13 2025 Tablet (5G + 256GB),"₹1,04,900",75,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 256 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
109,Apple iPad Air 13 2025 (Wi-Fi + 512GB),"₹1,09,900",68,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 512 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
110,Apple iPad Air 11 2025 (256GB+Wi-Fi),"₹67,796",67,No Sim Supported,Wi-Fi,"Apple M3, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
111,Apple iPad Air 13 2025 Tablet 5G,"₹91,990",74,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
112,Apple iPad Air 11 2025 Tablet 5G,"₹72,646",74,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
113,TCL Nxtpaper 11 Plus,"₹22,990",75,Single Sim,"VoLTE, Wi-Fi",No 3G,"Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 33W Fast Charging,"11.5 inches, 1440 x 2200 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera
114,OnePlus Pad Go 2,"₹18,999",69,Single Sim,"3G, 4G, Wi-Fi","Helio G100, Octa Core Processor","8 GB RAM, 128 GB inbuilt",8880 mAh Battery with 45W Fast Charging,"11.8 inches, 1720 x 2408 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
115,Lenovo Tab K12,"₹14,990",70,No Sim Supported,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8300 mAh Battery with 35W Fast Charging,"11.2 inches, 1200 x 2400 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
116,Lenovo Legion Tab (2025),"₹42,990",78,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 45W Fast Charging,"8.8 inches, 1600 x 2560 px, 144 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14
117,Vivo Pad 4 Pro,"₹45,990",76,No Sim Supported,"Wi-Fi, NFC","Dimensity 9400, Octa Core, 3.63 GHz Processor","8 GB RAM, 128 GB inbuilt",12000 mAh Battery with 66W Fast Charging,"12.95 inches, 2064 x 3096 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
118,Oppo Pad 3 Ultra,"₹49,990",67,No Sim Supported,Wi-Fi,Octa Core Processor,"8 GB RAM, 256 GB inbuilt",10500 mAh Battery with 80W Fast Charging,"12.9 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
119,Oppo Pad 3 Mini,"₹19,990",58,"VoLTE, Wi-Fi",No 3G,"Dimensity, Octa Core Processor","8 GB RAM, 128 GB inbuilt",8750 mAh Battery with 33W Fast Charging,"8.7 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,Android v15
120,Honor Pad V9,"₹22,990",71,No Sim Supported,Wi-Fi,"Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"11.5 inches, 2800 x 1840 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
121,Huawei MatePad Pro 13.2 2025,"₹59,990",70,No Sim Supported,Wi-Fi,"12 GB RAM, 256 GB inbuilt",10100 mAh Battery with 100W Fast Charging,"13.2 inches, 2880 x 1920 px, 144 Hz Display",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Harmony OS v4.3,No FM Radio
122,OnePlus Pad 2 Pro,"₹37,990",77,No Sim Supported,Wi-Fi,"Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","8 GB RAM, 256 GB inbuilt",12140 mAh Battery with 67W Fast Charging,"13.2 inches, 2400 x 3392 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
123,Tecno MegaPad 11 Tablet,"₹14,990",73,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 18W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,Memory Card Supported
124,Lenovo Legion Y700 (2025),"₹54,990",79,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 68W Fast Charging,"8.8 inches, 1600 x 2560 px, 165 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
125,Honor Tablet GT Pro,"₹28,990",72,No Sim Supported,Wi-Fi,"Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",10050 mAh Battery with 66W Fast Charging,"12.3 inches, 1920 x 3000 px, 144 Hz Display",13 MP Rear & 9 MP Front Camera,Memory Card Not Supported
126,Lenovo Legion Y700 2024 Gaming Tablet,"₹34,990",79,Single Sim,"VoLTE, Wi-Fi","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 45W Fast Charging,"8.8 inches, 1600 x 2560 px, 165 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
127,Samsung Galaxy Tab S10 Plus (Wi-Fi+12GB RAM + 256GB),"₹89,999",,No Sim Supported,Wi-Fi,"Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1.5 TB"
128,Acer Iconia X12 Tablet,"₹28,990",71,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 30W Fast Charging,"12.6 inches, 2560 x 1600 px Display",13 MP Rear & 8 MP Front Camera,Android v14,No FM Radio
129,Oppo Pad 3 Pro,"₹39,990",79,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 256 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"12.1 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
130,Realme Pad 3 Tablet,"₹22,990",69,Single Sim,"3G, 4G, VoLTE, Wi-Fi",Octa Core Processor,"8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"11.5 inches, 1800 x 3200 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
131,Lenovo Tab K11 (Wi-Fi Only),"₹17,999",69,No Sim Supported,Wi-Fi,"Helio G88, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"10.95 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
